project,metrics
053db410f7fdd4e1d6034a0a7fd45d9b,"{""total_attempts"": 5, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 38.16, ""avg_build_time_sec"": 2.6, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 5}}"
054023c4fca5369ffdb2,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 5.14, ""avg_build_time_sec"": 2.79, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
056626de3fbdc7cf7b59de1d9f6279d1,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 6.43, ""avg_build_time_sec"": 2.8, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
05aadb969e43788593d3,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 12.32, ""avg_build_time_sec"": 2.79, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
05bec6966701f720c3aa,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 8.9, ""avg_build_time_sec"": 2.63, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
05ff99985269200cdc4854ddc04fa6e9,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 21.32, ""avg_build_time_sec"": 14.49, ""avg_run_time_sec"": 1.34, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0618f44dc5270f9a2be2826d0d933ed7,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
06336eb10a1628850d6f,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 5.13, ""avg_build_time_sec"": 2.54, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
070c805d947bd17c7a19,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 12.21, ""avg_build_time_sec"": 2.53, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
071932322204bcad6063,"{""total_attempts"": 2, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 9.96, ""avg_build_time_sec"": 2.21, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 2}}"
076424abd8b012371b516da32807ca14,"{""total_attempts"": 2, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 36.04, ""avg_build_time_sec"": 7.89, ""avg_run_time_sec"": 1.17, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 2}}"
076bbc6a0d5056d20ad45095b434b02d,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 9.91, ""avg_build_time_sec"": 2.88, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
07cdfc2826a565b50a68,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 12.2, ""avg_build_time_sec"": 2.95, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0830affa1f7f19fd47b06d4cf89ed44d,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 18.04, ""avg_build_time_sec"": 2.91, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0932b2b5293839cd7d79fa6b513c8128,"{""total_attempts"": 2, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 49.35, ""avg_build_time_sec"": 8.25, ""avg_run_time_sec"": 1.42, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 2}}"
09648344984565f9477a,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
098f399d69f230521ef530baca832e76,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 10.26, ""avg_build_time_sec"": 3.39, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
09f5ab44486b1fc6df7bf20ce57159f1,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
0a2ac74d800a2eff9540,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 19.81, ""avg_build_time_sec"": 2.66, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0a3d4fae965bdbec1f9d,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
0a509faf231cff3cdec7,"{""total_attempts"": 2, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 34.12, ""avg_build_time_sec"": 2.82, ""avg_run_time_sec"": 1.22, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 2}}"
0aaa9e4659977a98fc9f36d6887fef37,"{""total_attempts"": 10, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 165.84, ""avg_build_time_sec"": 3.44, ""avg_run_time_sec"": 1.21, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""python"": 10}}"
0acf77b2c022e2467cfb0d5493d454d6,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 9.2, ""avg_build_time_sec"": 2.95, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0afa43225bdbe8e803cb,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
0b42dbd687ae3b838728,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 17.75, ""avg_build_time_sec"": 2.8, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0b7e91487dcf10c0b8e8711eb6d73bc5,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
0b92b9ca837a0f5474c732876220db78,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
0b9d8a742fe0efe0fe82,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 10.74, ""avg_build_time_sec"": 2.74, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0ba0270279a0f38280423754cea2ee1e,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
0c01b7a27e512db480847fac2cc54103,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 11.43, ""avg_build_time_sec"": 2.82, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0ca2272c015266e667924836364349c3,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 5.03, ""avg_build_time_sec"": 2.94, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0cdd8d6adb8463961f50bd1845faddf8,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
0cfe89a89b892e47e8418e281dfe318d,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 5.21, ""avg_build_time_sec"": 3.13, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0d1baad4e3a871587ab1,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 14.15, ""avg_build_time_sec"": 2.78, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0d25683d9c8fce27edd3,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 12.71, ""avg_build_time_sec"": 2.74, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0db840f27f1f0fd0747f13ab80d0ca37,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 9.67, ""avg_build_time_sec"": 2.85, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0e7d366d2e3623c5bb95,"{""total_attempts"": 2, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 16.13, ""avg_build_time_sec"": 2.68, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 2}}"
0ec0c3f5ca69bac2b625,"{""total_attempts"": 2, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 25.19, ""avg_build_time_sec"": 2.69, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 2}}"
0efb90d998c59d5926ca7f4e79054361,"{""total_attempts"": 2, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 20.15, ""avg_build_time_sec"": 2.71, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 2}}"
0efcacfb43827ba3a6bac3356315c419,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 11.97, ""avg_build_time_sec"": 2.87, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
0f575a0891cfef5f1b0024c89dcbaeea,"{""total_attempts"": 9, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 129.85, ""avg_build_time_sec"": 3.57, ""avg_run_time_sec"": 1.16, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 9}}"
0f5f65ddbfa278713f58,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 10.28, ""avg_build_time_sec"": 2.5, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
10005117,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 18.62, ""avg_build_time_sec"": 2.39, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
10010307,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 4.47, ""avg_build_time_sec"": 2.43, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
10016605,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 8.81, ""avg_build_time_sec"": 2.4, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
101323115e70bb6671d3,"{""total_attempts"": 10, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 170.05, ""avg_build_time_sec"": 3.62, ""avg_run_time_sec"": 1.26, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""python"": 10}}"
10206392,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 20.17, ""avg_build_time_sec"": 3.88, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1023456,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 8.0, ""avg_build_time_sec"": 2.59, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
10235798,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
10281460,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
10295174,"{""total_attempts"": 10, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 168.64, ""avg_build_time_sec"": 3.6, ""avg_run_time_sec"": 1.24, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""python"": 10}}"
1029870,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 12.34, ""avg_build_time_sec"": 3.03, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1035190,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 5.33, ""avg_build_time_sec"": 2.96, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
10354951,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 21.5, ""avg_build_time_sec"": 14.41, ""avg_run_time_sec"": 1.4, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1035890,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 6.76, ""avg_build_time_sec"": 2.84, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1038987,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 21.12, ""avg_build_time_sec"": 13.97, ""avg_run_time_sec"": 1.25, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1040366,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
1041172,"{""total_attempts"": 10, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 149.59, ""avg_build_time_sec"": 2.34, ""avg_run_time_sec"": 1.22, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""python"": 10}}"
1042778,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 9.81, ""avg_build_time_sec"": 2.71, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1044215,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
1045108,"{""total_attempts"": 10, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 165.86, ""avg_build_time_sec"": 3.19, ""avg_run_time_sec"": 1.22, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""python"": 10}}"
1052286,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
1054969,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 5.02, ""avg_build_time_sec"": 2.76, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1055992,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
10567484,"{""total_attempts"": 2, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 38.63, ""avg_build_time_sec"": 5.33, ""avg_run_time_sec"": 1.27, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 2}}"
10589494,"{""total_attempts"": 2, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 14.57, ""avg_build_time_sec"": 2.71, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 2}}"
1059647,"{""total_attempts"": 3, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 41.44, ""avg_build_time_sec"": 2.51, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 3}}"
1065196,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 6.78, ""avg_build_time_sec"": 3.53, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1068021,"{""total_attempts"": 3, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 31.86, ""avg_build_time_sec"": 2.51, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 3}}"
1068255,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 16.48, ""avg_build_time_sec"": 3.0, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1068868,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
1072977,"{""total_attempts"": 3, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 21.56, ""avg_build_time_sec"": 2.58, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 3}}"
1074124,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 28.54, ""avg_build_time_sec"": 8.41, ""avg_run_time_sec"": 1.33, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1074202,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 11.14, ""avg_build_time_sec"": 2.78, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1074227,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
1074551,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
1077318,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 5.2, ""avg_build_time_sec"": 2.94, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1077970,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
10792332,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 19.09, ""avg_build_time_sec"": 2.88, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1083908,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 12.48, ""avg_build_time_sec"": 2.82, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1088273,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
1094832,"{""total_attempts"": 1, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": 11.97, ""avg_build_time_sec"": 3.03, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {""dependency"": 1}}"
1096373,"{""total_attempts"": 0, ""success_attempt"": null, ""attempts_to_success"": null, ""total_time_sec"": null, ""avg_build_time_sec"": null, ""avg_run_time_sec"": null, ""avg_chosen_confidence"": 0.0, ""fix_type_counts"": {}}"
