project,status,output,error,build_time_sec,run_time_sec
668791,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 3, in <module>
    from django.contrib.sessions.backends.base import SessionBase, CreateError
ModuleNotFoundError: No module named 'django'",3.83,1.01
701416,success,,,7.25,0.95
701904,success,,,6.79,0.75
706573,success,,,7.53,0.9
709384,exception,,'NoneType' object is not subscriptable,5.83,
710480,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 3, in <module>
    from django.http import CompatCookie, HttpRequest
ImportError: cannot import name 'CompatCookie' from 'django.http' (/usr/local/lib/python3.9/site-packages/django/http/__init__.py)",7.05,1.11
715284,success,,,15,1.1
719502,success,,,6.96,1.22
723736,runtime_error,,"File ""/app/snippet.py"", line 39
    print iter
          ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(iter)?",18.19,1.23
730765,success,,,19.25,1.64
735556,runtime_error,,"File ""/app/snippet.py"", line 27
    except defer.FirstError, e:
                           ^
SyntaxError: invalid syntax",13.6,1.19
736778,runtime_error,,"File ""/app/snippet.py"", line 52
    print c, ': ', timeit.timeit(c, setup)
          ^
SyntaxError: invalid syntax",14.26,1.05
738156,exception,,'NoneType' object is not subscriptable,3.27,
744413,success,,,4.89,1.07
749857,exception,,'NoneType' object is not subscriptable,4.99,
755524,success,,,8.11,1.49
757191,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 1, in <module>
    import pyximport
ModuleNotFoundError: No module named 'pyximport'",15.1,1.86
764746,exception,,'NoneType' object is not subscriptable,3.44,
769687,exception,,'NoneType' object is not subscriptable,3.89,
771052,exception,,'NoneType' object is not subscriptable,3.01,
780379,success,,,6.76,0.8
781740,runtime_error,,"File ""/app/snippet.py"", line 23
    print local_maxima(s)
          ^
SyntaxError: invalid syntax",15.55,1.74
783810,success,,,7.53,0.9
790687,exception,,'NoneType' object is not subscriptable,9.54,
790721,exception,,'NoneType' object is not subscriptable,2.94,
794424,success,,,6.99,1.02
795180,runtime_error,,"File ""/app/snippet.py"", line 22
    print title, link, desc
          ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(title, link, desc)?",24.77,1.3
801265,success,,,17.34,1.18
805439,success,,,4.89,1.07
809420,runtime_error,,"ine 2, in <module>
    from django.db.models.sql.query import *  # NOQA
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.11/site-packages/django/db/models/sql/query.py"", line 11, in <module>
    from collections import Counter, Iterator, Mapping, OrderedDict
ImportError: cannot import name 'Iterator' from 'collections' (/usr/local/lib/python3.11/collections/__init__.py)",7.61,1.27
809693,exception,,'NoneType' object is not subscriptable,3.43,
809993,success,,,7.87,1.49
813813,success,,,16.86,1.69
822643,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 1, in <module>
    import SCons.Defaults
ModuleNotFoundError: No module named 'SCons'",13.42,1.17
824628,exception,,'NoneType' object is not subscriptable,3.05,
825970,success,,"/app/snippet.py:2: DeprecationWarning: Please import `map_coordinates` from the `scipy.ndimage` namespace; the `scipy.ndimage.interpolation` namespace is deprecated and will be removed in SciPy 2.0.0.
  from scipy.ndimage.interpolation import map_coordinates
/app/snippet.py:3: DeprecationWarning: Please import `gaussian_filter` from the `scipy.ndimage` namespace; the `scipy.ndimage.filters` namesp",15.82,1.52
826218,exception,,'NoneType' object is not subscriptable,2.99,
827988,exception,,'NoneType' object is not subscriptable,3.14,
831611,success,,,6.76,0.8
833151,success,,,7.15,0.91
835062,exception,,'NoneType' object is not subscriptable,3.42,
837538,success,,,7.53,0.9
844388,success,,,7.19,1.14
846545,exception,,'NoneType' object is not subscriptable,10.21,
850437,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 72, in <module>
    import pylab as pl
ModuleNotFoundError: No module named 'pylab'",16.67,1.71
855680,exception,,'NoneType' object is not subscriptable,2.98,
867589,success,,,7.01,1.14
867684,success,,,3.95,1.07
871567,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 10, in <module>
    from django.template.loaders.app_directories import app_template_dirs, Loader as BaseAppLoader
ImportError: cannot import name 'app_template_dirs' from 'django.template.loaders.app_directories' (/usr/local/lib/python3.9/site-packages/django/template/loaders/app_directories.py)",7.07,1.38
874808,runtime_error,,"Traceback (most recent call last):
  File ""/app/snippet.py"", line 11, in <module>
    import pymc as pm
ModuleNotFoundError: No module named 'pymc'",7.66,1.08
876324,success,,,4.89,1.07
876425,success,Not Set ItemId,,16.91,1.19
880901,runtime_error,,"File ""/app/snippet.py"", line 21
    print ""Added view permission for %s"" % content_type.name
          ^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(""Added view permission for %s"" % content_type.name)?",7.71,1.15
885932,exception,,'NoneType' object is not subscriptable,3.56,
889692,success,,,28.63,2.08
890640,success,,,18.92,1.69
896603,success,,,7.86,1.76
899524,exception,,'NoneType' object is not subscriptable,3.19,
900514,success,,,7.26,1.02
905137,success,,,15,1.1
905380,success,,,7.19,1.14
910726,success,,,19.87,1.82
915335,success,,,7.17,1.05
918751,exception,,'NoneType' object is not subscriptable,3.34,
925270,success,,,8.41,1.6
930276,exception,,'NoneType' object is not subscriptable,3.47,
931406,success,,,7.01,1.14
931984,exception,,'NoneType' object is not subscriptable,3.1,
937534,exception,,'NoneType' object is not subscriptable,4.05,
939252,exception,,'NoneType' object is not subscriptable,3.4,
944049,runtime_error,,"File ""/app/snippet.py"", line 65
    print 'Creating %s grid'%gridname
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: Missing parentheses in call to 'print'. Did you mean print(...)?",14.15,1.22
945093,exception,,'NoneType' object is not subscriptable,3.33,
946582,success,Not Set ItemId,,16.91,1.19
964622,success,,,18.92,1.69
966387,success,,,162.92,2.28
967274,success,,,7.86,1.76
968909,success,,,7.5,1.69
977777,success,,,6.76,0.8
989074,success,,,4.65,0.77
994260,runtime_error,,"56, in __getattr__
    self._setup(name)
  File ""/usr/local/lib/python3.11/site-packages/django/conf/__init__.py"", line 35, in _setup
    raise ImproperlyConfigured(
django.core.exceptions.ImproperlyConfigured: Requested setting DATABASES, but settings are not configured. You must either define the environment variable DJANGO_SETTINGS_MODULE or call settings.configure() before accessing settings.",7.32,1.26
998722,success,,,6.84,1.01
1023456,success,Not Set ItemId,,16.91,1.19
1029870,success,,,7.87,1.49
1035190,success,"ResNeXt(
  (conv1): Conv2d(3, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu): ReLU(inplace=True)
  (max_pool): MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)
  (conv2): Sequential(
    (0): Bottleneck(
      (conv1): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1)","/usr/local/lib/python3.9/site-packages/torch/_subclasses/functional_tensor.py:279: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:81.)
  cpu = _conversion_method_template(device=torch.device(""cpu""))",316.7,3.71
1035890,success,,,8.41,1.6
1038987,success,,,19.87,1.82
1040366,success,,,7.19,1.14
1041172,success,,,7.25,1.11
1042778,success,,,16.86,1.69
1044215,success,,,6.84,1.01
1045108,success,,,15.13,1.37
1052286,success,,,16.33,1.16
1054969,success,,,8.11,1.49
1055992,success,,,6.96,1.22
1059647,success,,,28.63,2.08
1065196,success,,"2025-10-11 07:16:45.870446: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 07:16:45.871175: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",100.6,3.5
1068021,success,,,18.92,1.69
1068255,success,,,162.92,2.28
1068868,success,,,15.33,1.41
1072977,success,,,14.23,1.26
1074124,success,,,19.25,1.64
1074202,success,,,7.86,1.76
1074227,success,,"2025-10-11 05:55:26.538026: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 05:55:26.538432: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",92.15,3.72
1074551,success,,,19.87,1.82
1077318,success,,,8.31,1.34
1077970,success,,,7.25,1.11
1083908,success,,,8.1,1.5
1088273,success,,,7.01,1.14
1094832,success,,,7.5,1.69
1096373,success,,,15.13,1.37
1098968,success,,"/app/snippet.py:2: DeprecationWarning: Please import `map_coordinates` from the `scipy.ndimage` namespace; the `scipy.ndimage.interpolation` namespace is deprecated and will be removed in SciPy 2.0.0.
  from scipy.ndimage.interpolation import map_coordinates
/app/snippet.py:3: DeprecationWarning: Please import `gaussian_filter` from the `scipy.ndimage` namespace; the `scipy.ndimage.filters` namesp",15.82,1.52
1104507,success,,,3.95,1.07
1104553,success,,,16.43,1.58
1107375,success,,,7.17,1.05
1108817,success,,,15.33,1.41
1118585,success,,,6.99,1.02
1125832,success,,,3.95,1.07
1133602,success,,,7.26,1.02
1134410,success,,,16.58,1.14
1140136,success,,,4.89,1.07
1140516,success,,,16.43,1.58
1142740,success,,,6.84,1.01
1147973,success,,,17.34,1.18
1160201,success,,,6.96,1.22
1160696,success,,"2025-10-11 05:55:26.538026: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 05:55:26.538432: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",92.15,3.72
1161423,success,,,7.25,0.95
1165038,success,,,19.87,1.82
1165344,success,Not Set ItemId,,16.91,1.19
1177373,success,,,7.25,1.11
1183767,success,,,15.13,1.37
1184264,success,,,18.18,1.19
1189327,success,,,7.17,1.05
1191457,success,,,15.33,1.41
1192059,success,,,19.25,1.64
1196291,success,,,7.87,1.49
1203640,success,"ResNeXt(
  (conv1): Conv2d(3, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu): ReLU(inplace=True)
  (max_pool): MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)
  (conv2): Sequential(
    (0): Bottleneck(
      (conv1): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1)","/usr/local/lib/python3.9/site-packages/torch/_subclasses/functional_tensor.py:279: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:81.)
  cpu = _conversion_method_template(device=torch.device(""cpu""))",316.7,3.71
1207636,success,,,4.89,1.07
1210791,success,,,7.01,1.14
1217855,success,Not Set ItemId,,16.91,1.19
1218932,success,,,3.95,1.07
1219955,success,,,16.43,1.58
1228626,success,,,17.34,1.18
1229681,success,,,18.18,1.19
1229685,success,,,7.87,1.49
1229770,success,,,8.41,1.6
1234843,success,,,7.87,1.49
1239373,success,"ResNeXt(
  (conv1): Conv2d(3, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu): ReLU(inplace=True)
  (max_pool): MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)
  (conv2): Sequential(
    (0): Bottleneck(
      (conv1): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1)","/usr/local/lib/python3.9/site-packages/torch/_subclasses/functional_tensor.py:279: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:81.)
  cpu = _conversion_method_template(device=torch.device(""cpu""))",316.7,3.71
1239674,success,,,8.41,1.6
1242589,success,,,16.86,1.69
1246146,success,"ResNeXt(
  (conv1): Conv2d(3, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu): ReLU(inplace=True)
  (max_pool): MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)
  (conv2): Sequential(
    (0): Bottleneck(
      (conv1): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1)","/usr/local/lib/python3.9/site-packages/torch/_subclasses/functional_tensor.py:279: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:81.)
  cpu = _conversion_method_template(device=torch.device(""cpu""))",316.7,3.71
1246268,success,,,8.41,1.6
1248728,success,,,16.86,1.69
1253332,success,,,8.11,1.49
1262332,success,,,6.79,0.75
1264102,success,,,16.86,1.69
1265346,success,,,8.11,1.49
1267632,success,"iter 1 violation 1.0
iter 2 violation 0.9275458043179818
iter 3 violation 0.8160522950492526
iter 4 violation 0.6990455291229618
iter 5 violation 0.6393618992982688
iter 6 violation 0.5957671717992999
iter 7 violation 0.5362919287445385
iter 8 violation 0.47177217115298603
iter 9 violation 0.44812761767941456
iter 10 violation 0.3834613038353731
iter 11 violation 0.32486115892212175
iter 12 violat",,20.24,2.17
1268033,success,,,28.63,2.08
1269949,success,,,6.76,0.8
1275204,success,,"2025-10-11 07:16:45.870446: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 07:16:45.871175: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",100.6,3.5
1284577,success,,,18.92,1.69
1285742,success,,,7.25,0.96
1288025,success,,,8.11,1.49
1289286,success,,,162.92,2.28
1303651,success,"iter 1 violation 1.0
iter 2 violation 0.9275458043179818
iter 3 violation 0.8160522950492526
iter 4 violation 0.6990455291229618
iter 5 violation 0.6393618992982688
iter 6 violation 0.5957671717992999
iter 7 violation 0.5362919287445385
iter 8 violation 0.47177217115298603
iter 9 violation 0.44812761767941456
iter 10 violation 0.3834613038353731
iter 11 violation 0.32486115892212175
iter 12 violat",,20.24,2.17
1309895,success,,"2025-10-11 04:50:06.835601: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 04:50:06.835983: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",95.34,3.08
1310549,success,,,7.44,0.82
1320970,success,,,7.86,1.76
1321295,success,,,28.63,2.08
1321575,success,,"2025-10-11 07:16:45.870446: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 07:16:45.871175: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",100.6,3.5
1321585,success,,,18.92,1.69
1326477,success,,,162.92,2.28
1337131,success,,,6.99,1.02
1338222,success,,,14.23,1.26
1342497,success,,,7.26,1.02
1343455,success,,,7.86,1.76
1350641,success,,,8.31,1.34
1352028,success,,,16.58,1.14
1357185,success,,,15,1.1
1358794,success,,,7.19,1.14
1361643,success,,,6.84,1.01
1363730,success,,"2025-10-11 07:43:55 [scrapy.utils.log] INFO: Scrapy 2.13.3 started (bot: scrapybot)
2025-10-11 07:43:55 [scrapy.utils.log] INFO: Versions:
{'lxml': '6.0.2',
 'libxml2': '2.14.6',
 'cssselect': '1.3.0',
 'parsel': '1.10.0',
 'w3lib': '2.3.1',
 'Twisted': '25.5.0',
 'Python': '3.11.14 (main, Oct  9 2025, 22:39:13) [GCC 14.2.0]',
 'pyOpenSSL': '25.3.0 (OpenSSL 3.5.4 30 Sep 2025)',
 'cryptography': '4",24.43,2.41
1372780,success,,,8.1,1.5
1379652,success,,"2025-10-11 07:43:55 [scrapy.utils.log] INFO: Scrapy 2.13.3 started (bot: scrapybot)
2025-10-11 07:43:55 [scrapy.utils.log] INFO: Versions:
{'lxml': '6.0.2',
 'libxml2': '2.14.6',
 'cssselect': '1.3.0',
 'parsel': '1.10.0',
 'w3lib': '2.3.1',
 'Twisted': '25.5.0',
 'Python': '3.11.14 (main, Oct  9 2025, 22:39:13) [GCC 14.2.0]',
 'pyOpenSSL': '25.3.0 (OpenSSL 3.5.4 30 Sep 2025)',
 'cryptography': '4",24.43,2.41
1382972,success,,"2025-10-11 05:55:26.538026: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
2025-10-11 05:55:26.538432: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the enviro",92.15,3.72
1387470,success,,,19.87,1.82
1388243,success,,,6.79,0.75
1401195,success,,,15.13,1.37
1410088,success,,,7.17,1.05
1423116,success,,,15.33,1.41
1424374,success,,,19.25,1.64
1433392,success,,,7.01,1.14
1433794,success,,,7.5,1.69
1435045,success,,,7.5,1.69
1435555,success,,,3.95,1.07
1436671,success,,"/app/snippet.py:2: DeprecationWarning: Please import `map_coordinates` from the `scipy.ndimage` namespace; the `scipy.ndimage.interpolation` namespace is deprecated and will be removed in SciPy 2.0.0.
  from scipy.ndimage.interpolation import map_coordinates
/app/snippet.py:3: DeprecationWarning: Please import `gaussian_filter` from the `scipy.ndimage` namespace; the `scipy.ndimage.filters` namesp",15.82,1.52
1441019,success,,,17.34,1.18
1451300,success,,,13.1,1.34
1467584,success,,,4.89,1.07
1473120,success,,"/app/snippet.py:2: DeprecationWarning: Please import `map_coordinates` from the `scipy.ndimage` namespace; the `scipy.ndimage.interpolation` namespace is deprecated and will be removed in SciPy 2.0.0.
  from scipy.ndimage.interpolation import map_coordinates
/app/snippet.py:3: DeprecationWarning: Please import `gaussian_filter` from the `scipy.ndimage` namespace; the `scipy.ndimage.filters` namesp",15.82,1.52
1483322,success,Not Set ItemId,,16.91,1.19
1486762,success,,,7.87,1.49
1495011,success,"ResNeXt(
  (conv1): Conv2d(3, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu): ReLU(inplace=True)
  (max_pool): MaxPool2d(kernel_size=3, stride=2, padding=1, dilation=1, ceil_mode=False)
  (conv2): Sequential(
    (0): Bottleneck(
      (conv1): Conv2d(64, 128, kernel_size=(1, 1), stride=(1, 1)","/usr/local/lib/python3.9/site-packages/torch/_subclasses/functional_tensor.py:279: UserWarning: Failed to initialize NumPy: No module named 'numpy' (Triggered internally at /pytorch/torch/csrc/utils/tensor_numpy.cpp:81.)
  cpu = _conversion_method_template(device=torch.device(""cpu""))",316.7,3.71
1497850,success,,,8.41,1.6
1516095,success,,,8.11,1.49
1519543,success,"iter 1 violation 1.0
iter 2 violation 0.9275458043179818
iter 3 violation 0.8160522950492526
iter 4 violation 0.6990455291229618
iter 5 violation 0.6393618992982688
iter 6 violation 0.5957671717992999
iter 7 violation 0.5362919287445385
iter 8 violation 0.47177217115298603
iter 9 violation 0.44812761767941456
iter 10 violation 0.3834613038353731
iter 11 violation 0.32486115892212175
iter 12 violat",,20.24,2.17
1545255,success,,,6.17,1.97
1551619,success,,,18.92,1.69
1554441,success,,,162.92,2.28
1556251,success,,,6.17,1.97
1567224,success,,,14.23,1.26
1574231,exception,,'NoneType' object is not subscriptable,3.04,
1600408,success,,,8.31,1.34
1608287,success,,"2025-10-11 07:43:55 [scrapy.utils.log] INFO: Scrapy 2.13.3 started (bot: scrapybot)
2025-10-11 07:43:55 [scrapy.utils.log] INFO: Versions:
{'lxml': '6.0.2',
 'libxml2': '2.14.6',
 'cssselect': '1.3.0',
 'parsel': '1.10.0',
 'w3lib': '2.3.1',
 'Twisted': '25.5.0',
 'Python': '3.11.14 (main, Oct  9 2025, 22:39:13) [GCC 14.2.0]',
 'pyOpenSSL': '25.3.0 (OpenSSL 3.5.4 30 Sep 2025)',
 'cryptography': '4",24.43,2.41
1610922,runtime_error,,"File ""/app/snippet.py"", line 42
    print p_obj(coef_)  # should go down
          ^
SyntaxError: invalid syntax",20.51,0.85
1628838,success,,,7.15,0.91
1638546,success,,,7.5,1.69
1638695,exception,,'NoneType' object is not subscriptable,3.06,
1639941,success,,"/app/snippet.py:2: DeprecationWarning: Please import `map_coordinates` from the `scipy.ndimage` namespace; the `scipy.ndimage.interpolation` namespace is deprecated and will be removed in SciPy 2.0.0.
  from scipy.ndimage.interpolation import map_coordinates
/app/snippet.py:3: DeprecationWarning: Please import `gaussian_filter` from the `scipy.ndimage` namespace; the `scipy.ndimage.filters` namesp",15.82,1.52
1650115,exception,,'NoneType' object is not subscriptable,3.97,
1676440,exception,,'NoneType' object is not subscriptable,3.46,
1679110,success,"iter 1 violation 1.0
iter 2 violation 0.9275458043179818
iter 3 violation 0.8160522950492526
iter 4 violation 0.6990455291229618
iter 5 violation 0.6393618992982688
iter 6 violation 0.5957671717992999
iter 7 violation 0.5362919287445385
iter 8 violation 0.47177217115298603
iter 9 violation 0.44812761767941456
iter 10 violation 0.3834613038353731
iter 11 violation 0.32486115892212175
iter 12 violat",,20.24,2.17
1685139,success,,,28.63,2.08
1701305,exception,,'NoneType' object is not subscriptable,6.04,
